directorate	division	program
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	LOCAL ACCESS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Leadership-Class Computing
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	PROF OPPOR FOR WOMEN IN RSCH
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	METEOROLOGY (US ANTARCTIC RES)
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CFS-Combustion & Fire Systems
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	MULTI-SCALE MODELING
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CYBERINFRASTRUCTURE & SENSORS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Networking Technology and Syst
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ANT Glaciology
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	IUSE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NSF Research Traineeship (NRT)
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	PHYSICAL INORGANIC
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ADVANCE - FELLOWS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ADVISORY SVCS (U.S.ANTARCTIC)
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CHEMICAL THREATS TO MAN & ENVI
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	BE-UF: CARBON CYCLE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	POLAR OCEAN SCI (ARCTIC RES)
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Petrology and Geochemistry
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ARCTIC RESEARCH AND EDUCATION
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CSD-Chem Strcture and Dynamics
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Tectonics
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NEW ZEALAND
